2 --> {1=219, 2=223, 3=223, 4=223, 5=223, 6=219, 7=223, 8=223, 9=223, 10=223, 11=223, 12=223, 13=223}
52 --> {1=4415, 2=4415, 3=4435, 4=4421, 5=4421, 6=4421, 7=4420, 8=4420, 9=4416, 10=4416, 11=4430, 12=4415, 13=4435}
54 --> {1=4481, 2=4481, 3=4481, 4=4483, 5=4481, 6=4481, 7=4483, 8=4483, 9=4483, 10=4483, 11=4481, 12=4482, 13=4481}
55 --> {1=4490, 2=4490, 3=4490, 4=4497, 5=4497, 6=4497, 7=4488, 8=4495, 9=4497, 10=4488, 11=4490, 12=4490, 13=4490}
56 --> {1=4521, 2=4504, 3=4504, 4=4526, 5=4526, 6=4526, 7=4508, 8=4522, 9=4507, 10=4507, 11=4504, 12=4504, 13=4511}
57 --> {1=4570, 2=4551, 3=4543, 4=4542, 5=4542, 6=4566, 7=4544, 8=4536, 9=4535, 10=4535, 11=4549, 12=4551, 13=4551}
58 --> {1=4574, 2=4574, 3=4589, 4=4590, 5=4590, 6=4590, 7=4588, 8=4580, 9=4583, 10=4583, 11=4585, 12=4574, 13=4589}
59 --> {1=4599, 2=4599, 3=4609, 4=4596, 5=4623, 6=4623, 7=4597, 8=4603, 9=4596, 10=4596, 11=4593, 12=4599, 13=4599}
60 --> {1=4644, 2=4650, 3=4637, 4=4640, 5=4640, 6=4640, 7=4658, 8=4632, 9=4631, 10=4631, 11=4637, 12=4650, 13=4647}
61 --> {1=4711, 2=4711, 3=4693, 4=4702, 5=4702, 6=4694, 7=4707, 8=4709, 9=4707, 10=4707, 11=4693, 12=4703, 13=4697}
62 --> {1=4756, 2=4756, 3=4733, 4=4734, 5=4734, 6=4734, 7=4745, 8=4745, 9=4735, 10=4735, 11=4763, 12=4756, 13=4733}
63 --> {1=4784, 2=4785, 3=4773, 4=4813, 5=4813, 6=4813, 7=4798, 8=4794, 9=4772, 10=4772, 11=4791, 12=4785, 13=4787}
64 --> {1=4846, 2=4846, 3=4839, 4=4862, 5=4862, 6=4862, 7=4821, 8=4825, 9=4836, 10=4836, 11=4820, 12=4846, 13=4835}
65 --> {1=4879, 2=4879, 3=4879, 4=4878, 5=4879, 6=4879, 7=4878, 8=4880, 9=4878, 10=4878, 11=4875, 12=4879, 13=4875}
66 --> {1=4885, 2=4883, 3=4888, 4=4882, 5=4882, 6=4885, 7=4882, 8=4884, 9=4882, 10=4882, 11=4883, 12=4887, 13=4888}
67 --> {1=4922, 2=4922, 3=4895, 4=4908, 5=4908, 6=4908, 7=4925, 8=4920, 9=4894, 10=4894, 11=4938, 12=4922, 13=4922}
68 --> {1=4971, 2=4971, 3=4944, 4=4957, 5=4944, 6=4962, 7=4957, 8=4970, 9=4957, 10=4957, 11=4967, 12=4971, 13=4971}
69 --> {1=4977, 2=4977, 3=5035, 4=4993, 5=4993, 6=4993, 7=4992, 8=5021, 9=4975, 10=4975, 11=5035, 12=4977, 13=5015}
70 --> {1=5043, 2=5043, 3=5043, 4=5070, 5=5070, 6=5070, 7=5068, 8=5053, 9=5055, 10=5055, 11=5066, 12=5043, 13=5043}
71 --> {1=5095, 2=5095, 3=5081, 4=5087, 5=5087, 6=5087, 7=5075, 8=5075, 9=5073, 10=5073, 11=5085, 12=5110, 13=5095}
72 --> {1=5136, 2=5152, 3=5122, 4=5135, 5=5135, 6=5135, 7=5132, 8=5161, 9=5132, 10=5132, 11=5155, 12=5152, 13=5141}
73 --> {1=5207, 2=5189, 3=5187, 4=5186, 5=5186, 6=5186, 7=5180, 8=5220, 9=5179, 10=5179, 11=5185, 12=5189, 13=5182}
74 --> {1=5273, 2=5255, 3=5226, 4=5244, 5=5230, 6=5240, 7=5229, 8=5229, 9=5239, 10=5239, 11=5278, 12=5255, 13=5255}
75 --> {1=5287, 2=5286, 3=5309, 4=5298, 5=5298, 6=5298, 7=5288, 8=5288, 9=5298, 10=5317, 11=5301, 12=5286, 13=5294}
76 --> {1=5337, 2=5337, 3=5332, 4=5348, 5=5348, 6=5348, 7=5336, 8=5335, 9=5336, 10=5336, 11=5332, 12=5337, 13=5337}
77 --> {1=5353, 2=5354, 3=5354, 4=5353, 5=5353, 6=5353, 7=5354, 8=5353, 9=5354, 10=5354, 11=5353, 12=5354, 13=5353}
78 --> {1=5372, 2=5372, 3=5372, 4=5357, 5=5357, 6=5357, 7=5358, 8=5360, 9=5375, 10=5375, 11=5361, 12=5373, 13=5389}
79 --> {1=5406, 2=5406, 3=5398, 4=5397, 5=5397, 6=5397, 7=5403, 8=5403, 9=5402, 10=5402, 11=5417, 12=5406, 13=5398}
80 --> {1=5437, 2=5437, 3=5444, 4=5433, 5=5433, 6=5433, 7=5441, 8=5437, 9=5441, 10=5441, 11=5444, 12=5485, 13=5453}
81 --> {1=5515, 2=5515, 3=5502, 4=5504, 5=5492, 6=5493, 7=5507, 8=5507, 9=5493, 10=5493, 11=5492, 12=5515, 13=5502}
83 --> {1=5625, 2=5581, 3=5615, 4=5607, 5=5607, 6=5607, 7=5599, 8=5593, 9=5580, 10=5580, 11=5597, 12=5581, 13=5581}
84 --> {1=5627, 2=5637, 3=5672, 4=5628, 5=5628, 6=5628, 7=5659, 8=5662, 9=5630, 10=5630, 11=5674, 12=5637, 13=5638}
85 --> {1=5687, 2=5687, 3=5723, 4=5724, 5=5724, 6=5724, 7=5686, 8=5699, 9=5695, 10=5695, 11=5694, 12=5687, 13=5723}
86 --> {1=5740, 2=5731, 3=5744, 4=5758, 5=5758, 6=5758, 7=5738, 8=5738, 9=5734, 10=5734, 11=5747, 12=5731, 13=5770}
87 --> {1=5788, 2=5789, 3=5795, 4=5806, 5=5806, 6=5806, 7=5796, 8=5799, 9=5833, 10=5833, 11=5795, 12=5789, 13=5789}
88 --> {1=5859, 2=5844, 3=5851, 4=5837, 5=5837, 6=5837, 7=5886, 8=5860, 9=5885, 10=5885, 11=5838, 12=5844, 13=5851}
89 --> {1=5909, 2=5917, 3=5935, 4=5906, 5=5906, 6=5906, 7=5896, 8=5896, 9=5929, 10=5929, 11=5921, 12=5917, 13=5935}
90 --> {1=5942, 2=5942, 3=5941, 4=5955, 5=5959, 6=5959, 7=5952, 8=5952, 9=5955, 10=5955, 11=5944, 12=5942, 13=5941}
92 --> {1=6021, 2=6042, 3=6042, 4=6010, 5=6010, 6=6010, 7=6007, 8=6007, 9=6008, 10=6008, 11=6044, 12=6042, 13=6042}
93 --> {1=6051, 2=6051, 3=6054, 4=6060, 5=6060, 6=6060, 7=6056, 8=6052, 9=6056, 10=6056, 11=6055, 12=6051, 13=6054}
97 --> {1=6197, 2=6197, 3=6197, 4=6197, 5=6197, 6=6197, 7=6197, 8=6197, 9=6197, 10=6197, 11=6197, 12=6197, 13=6197}
98 --> {1=6198, 2=6198, 3=6198, 4=6207, 5=6198, 6=6222, 7=6228, 8=6201, 9=6207, 10=6207, 11=6230, 12=6198, 13=6198}
99 --> {1=6251, 2=6251, 3=6237, 4=6263, 5=6238, 6=6238, 7=6243, 8=6266, 9=6249, 10=6249, 11=6241, 12=6251, 13=6277}
100 --> {1=6331, 2=6286, 3=6294, 4=6311, 5=6311, 6=6285, 7=6281, 8=6281, 9=6305, 10=6305, 11=6294, 12=6312, 13=6314}
101 --> {1=6353, 2=6353, 3=6357, 4=6374, 5=6374, 6=6374, 7=6384, 8=6354, 9=6355, 10=6355, 11=6365, 12=6353, 13=6357}
106 --> {1=6550, 2=6550, 3=6510, 4=6548, 5=6548, 6=6548, 7=6523, 8=6514, 9=6522, 10=6522, 11=6510, 12=6550, 13=6550}
107 --> {1=6552, 2=6552, 3=6552, 4=6560, 5=6560, 6=6560, 7=6560, 8=6552, 9=6560, 10=6560, 11=6552, 12=6560, 13=6552}
108 --> {1=6587, 2=6564, 3=6563, 4=6597, 5=6593, 6=6593, 7=6584, 8=6589, 9=6567, 10=6567, 11=6569, 12=6564, 13=6563}
109 --> {1=6645, 2=6620, 3=6614, 4=6606, 5=6606, 6=6606, 7=6612, 8=6656, 9=6609, 10=6609, 11=6614, 12=6620, 13=6620}
111 --> {1=6672, 2=6672, 3=6672, 4=6672, 5=6672, 6=6672, 7=6672, 8=6672, 9=6672, 10=6672, 11=6672, 12=6672, 13=6672}
112 --> {1=6675, 2=6675, 3=6675, 4=6675, 5=6675, 6=6675, 7=6675, 8=6675, 9=6675, 10=6675, 11=6675, 12=6675, 13=6675}
113 --> {1=6696, 2=6696, 3=6677, 4=6690, 5=6677, 6=6690, 7=6677, 8=6696, 9=6677, 10=6677, 11=6677, 12=6696, 13=6678}
114 --> {1=6700, 2=6700, 3=6702, 4=6720, 5=6720, 6=6720, 7=6706, 8=6706, 9=6708, 10=6708, 11=6698, 12=6700, 13=6702}
115 --> {1=6751, 2=6756, 3=6758, 4=6756, 5=6758, 6=6756, 7=6758, 8=6759, 9=6758, 10=6759, 11=6758, 12=6756, 13=6756}
116 --> {1=6778, 2=6761, 3=6762, 4=6776, 5=6776, 6=6776, 7=6771, 8=6766, 9=6771, 10=6771, 11=6767, 12=6761, 13=6762}
117 --> {1=6793, 2=6808, 3=6795, 4=6786, 5=6786, 6=6786, 7=6827, 8=6794, 9=6826, 10=6826, 11=6795, 12=6808, 13=6809}
118 --> {1=6853, 2=6853, 3=6851, 4=6878, 5=6878, 6=6878, 7=6848, 8=6848, 9=6858, 10=6858, 11=6847, 12=6853, 13=6853}
119 --> {1=6882, 2=6882, 3=6882, 4=6901, 5=6901, 6=6901, 7=6888, 8=6897, 9=6888, 10=6888, 11=6907, 12=6919, 13=6885}
121 --> {1=6995, 2=6975, 3=6976, 4=6973, 5=6973, 6=6987, 7=6991, 8=6979, 9=6991, 10=6991, 11=6975, 12=6975, 13=6968}
122 --> {1=7009, 2=7009, 3=7011, 4=7010, 5=7006, 6=7006, 7=7010, 8=7008, 9=7010, 10=7010, 11=7011, 12=7009, 13=7009}
123 --> {1=7073, 2=7085, 3=7094, 4=7077, 5=7077, 6=7077, 7=7093, 8=7103, 9=7072, 10=7072, 11=7076, 12=7085, 13=7080}
124 --> {1=7127, 2=7127, 3=7109, 4=7130, 5=7130, 6=7130, 7=7123, 8=7114, 9=7116, 10=7116, 11=7109, 12=7127, 13=7127}
125 --> {1=7149, 2=7140, 3=7140, 4=7138, 5=7138, 6=7138, 7=7146, 8=7157, 9=7137, 10=7137, 11=7140, 12=7152, 13=7150}
127 --> {1=7227, 2=7200, 3=7194, 4=7196, 5=7196, 6=7196, 7=7198, 8=7198, 9=7197, 10=7197, 11=7204, 12=7200, 13=7216}
128 --> {1=7237, 2=7237, 3=7230, 4=7234, 5=7234, 6=7234, 7=7233, 8=7256, 9=7234, 10=7236, 11=7252, 12=7237, 13=7230}
129 --> {1=7283, 2=7283, 3=7280, 4=7293, 5=7293, 6=7293, 7=7282, 8=7282, 9=7273, 10=7273, 11=7280, 12=7283, 13=7275}
130 --> {1=7318, 2=7318, 3=7318, 4=7317, 5=7318, 6=7333, 7=7325, 8=7325, 9=7316, 10=7316, 11=7318, 12=7318, 13=7321}
131 --> {1=7337, 2=7337, 3=7337, 4=7337, 5=7337, 6=7337, 7=7337, 8=7337, 9=7337, 10=7337, 11=7337, 12=7337, 13=7337}
132 --> {1=7361, 2=7342, 3=7339, 4=7338, 5=7338, 6=7338, 7=7357, 8=7355, 9=7344, 10=7344, 11=7347, 12=7342, 13=7342}
133 --> {1=7376, 2=7376, 3=7374, 4=7367, 5=7367, 6=7367, 7=7404, 8=7404, 9=7370, 10=7370, 11=7379, 12=7376, 13=7376}
134 --> {1=7429, 2=7429, 3=7429, 4=7410, 5=7410, 6=7410, 7=7428, 8=7420, 9=7417, 10=7417, 11=7429, 12=7413, 13=7429}
135 --> {1=7443, 2=7443, 3=7443, 4=7443, 5=7443, 6=7443, 7=7443, 8=7443, 9=7443, 10=7443, 11=7443, 12=7443, 13=7443}
136 --> {1=7470, 2=7470, 3=7470, 4=7448, 5=7448, 6=7448, 7=7469, 8=7459, 9=7455, 10=7455, 11=7470, 12=7450, 13=7449}
137 --> {1=7512, 2=7533, 3=7497, 4=7492, 5=7492, 6=7492, 7=7506, 8=7510, 9=7493, 10=7493, 11=7497, 12=7533, 13=7504}
140 --> {1=7637, 2=7637, 3=7620, 4=7621, 5=7621, 6=7621, 7=7628, 8=7655, 9=7630, 10=7630, 11=7645, 12=7637, 13=7620}
142 --> {1=7701, 2=7702, 3=7702, 4=7716, 5=7716, 6=7716, 7=7719, 8=7712, 9=7700, 10=7700, 11=7702, 12=7717, 13=7721}
143 --> {1=7750, 2=7750, 3=7756, 4=7738, 5=7756, 6=7737, 7=7749, 8=7752, 9=7738, 10=7738, 11=7748, 12=7750, 13=7750}
144 --> {1=7767, 2=7767, 3=7779, 4=7765, 5=7769, 6=7771, 7=7778, 8=7781, 9=7762, 10=7762, 11=7779, 12=7767, 13=7764}
145 --> {1=7804, 2=7786, 3=7786, 4=7784, 5=7784, 6=7784, 7=7796, 8=7805, 9=7796, 10=7796, 11=7786, 12=7786, 13=7786}
147 --> {1=7834, 2=7834, 3=7822, 4=7827, 5=7827, 6=7832, 7=7819, 8=7822, 9=7820, 10=7820, 11=7822, 12=7834, 13=7834}
148 --> {1=7842, 2=7841, 3=7838, 4=7841, 5=7841, 6=7841, 7=7841, 8=7841, 9=7841, 10=7841, 11=7838, 12=7838, 13=7840}
149 --> {1=7879, 2=7879, 3=7857, 4=7875, 5=7875, 6=7875, 7=7846, 8=7869, 9=7846, 10=7846, 11=7857, 12=7879, 13=7879}
151 --> {1=7900, 2=7900, 3=7904, 4=7902, 5=7902, 6=7902, 7=7912, 8=7903, 9=7899, 10=7899, 11=7904, 12=7900, 13=7896}
152 --> {1=7983, 2=7986, 3=7943, 4=7940, 5=7940, 6=7940, 7=7938, 8=7958, 9=7964, 10=7964, 11=7961, 12=7986, 13=7963}
153 --> {1=8009, 2=8009, 3=8009, 4=7993, 5=7993, 6=7993, 7=8018, 8=8018, 9=7996, 10=7996, 11=8009, 12=8019, 13=8009}
154 --> {1=8050, 2=8030, 3=8024, 4=8028, 5=8028, 6=8028, 7=8031, 8=8031, 9=8026, 10=8026, 11=8023, 12=8048, 13=8024}
155 --> {1=8074, 2=8074, 3=8066, 4=8093, 5=8093, 6=8093, 7=8094, 8=8083, 9=8067, 10=8067, 11=8111, 12=8074, 13=8074}
157 --> {1=8173, 2=8191, 3=8171, 4=8180, 5=8176, 6=8180, 7=8189, 8=8189, 9=8180, 10=8180, 11=8172, 12=8191, 13=8171}
158 --> {1=8214, 2=8224, 3=8217, 4=8196, 5=8196, 6=8196, 7=8198, 8=8198, 9=8209, 10=8209, 11=8205, 12=8224, 13=8202}
159 --> {1=8233, 2=8233, 3=8233, 4=8233, 5=8233, 6=8233, 7=8233, 8=8233, 9=8233, 10=8233, 11=8233, 12=8233, 13=8233}
160 --> {1=8246, 2=8246, 3=8236, 4=8235, 5=8235, 6=8235, 7=8260, 8=8244, 9=8237, 10=8237, 11=8245, 12=8246, 13=8250}
161 --> {1=8266, 2=8266, 3=8266, 4=8271, 5=8271, 6=8271, 7=8267, 8=8267, 9=8269, 10=8269, 11=8266, 12=8266, 13=8268}
162 --> {1=8273, 2=8273, 3=8290, 4=8298, 5=8298, 6=8298, 7=8272, 8=8288, 9=8285, 10=8285, 11=8284, 12=8286, 13=8307}
163 --> {1=8310, 2=8309, 3=8309, 4=8309, 5=8309, 6=8309, 7=8309, 8=8309, 9=8309, 10=8309, 11=8309, 12=8310, 13=8309}
164 --> {1=8312, 2=8312, 3=8312, 4=8312, 5=8312, 6=8312, 7=8312, 8=8312, 9=8312, 10=8312, 11=8312, 12=8312, 13=8312}
165 --> {1=8313, 2=8313, 3=8313, 4=8313, 5=8313, 6=8313, 7=8313, 8=8313, 9=8313, 10=8313, 11=8313, 12=8313, 13=8313}
167 --> {1=8351, 2=8352, 3=8352, 4=8372, 5=8372, 6=8372, 7=8353, 8=8353, 9=8350, 10=8350, 11=8352, 12=8375, 13=8392}
168 --> {1=8397, 2=8401, 3=8408, 4=8405, 5=8405, 6=8405, 7=8411, 8=8412, 9=8399, 10=8399, 11=8409, 12=8401, 13=8408}
169 --> {1=8428, 2=8428, 3=8428, 4=8427, 5=8431, 6=8444, 7=8427, 8=8449, 9=8427, 10=8427, 11=8428, 12=8431, 13=8432}
170 --> {1=8452, 2=8452, 3=8452, 4=8455, 5=8452, 6=8455, 7=8452, 8=8452, 9=8452, 10=8452, 11=8452, 12=8452, 13=8452}
171 --> {1=8477, 2=8486, 3=8489, 4=8484, 5=8484, 6=8491, 7=8464, 8=8464, 9=8459, 10=8459, 11=8489, 12=8486, 13=8473}
172 --> {1=8530, 2=8530, 3=8499, 4=8497, 5=8497, 6=8497, 7=8507, 8=8507, 9=8502, 10=8502, 11=8520, 12=8530, 13=8511}
173 --> {1=8535, 2=8560, 3=8544, 4=8537, 5=8537, 6=8537, 7=8549, 8=8550, 9=8536, 10=8536, 11=8558, 12=8560, 13=8534}
174 --> {1=8569, 2=8569, 3=8581, 4=8574, 5=8574, 6=8574, 7=8565, 8=8578, 9=8579, 10=8579, 11=8588, 12=8569, 13=8581}
175 --> {1=8627, 2=8606, 3=8616, 4=8615, 5=8615, 6=8615, 7=8614, 8=8611, 9=8605, 10=8605, 11=8616, 12=8606, 13=8606}
176 --> {1=8655, 2=8630, 3=8630, 4=8653, 5=8653, 6=8653, 7=8637, 8=8657, 9=8643, 10=8643, 11=8633, 12=8630, 13=8630}
177 --> {1=8663, 2=8662, 3=8662, 4=8662, 5=8662, 6=8662, 7=8662, 8=8662, 9=8662, 10=8662, 11=8665, 12=8662, 13=8662}
178 --> {1=8682, 2=8672, 3=8666, 4=8687, 5=8688, 6=8688, 7=8681, 8=8686, 9=8687, 10=8687, 11=8666, 12=8671, 13=8672}
179 --> {1=8700, 2=8700, 3=8700, 4=8699, 5=8700, 6=8701, 7=8697, 8=8697, 9=8699, 10=8699, 11=8700, 12=8695, 13=8700}
182 --> {1=8761, 2=8761, 3=8766, 4=8776, 5=8776, 6=8776, 7=8755, 8=8786, 9=8752, 10=8752, 11=8762, 12=8761, 13=8785}
184 --> {1=8860, 2=8876, 3=8839, 4=8867, 5=8867, 6=8867, 7=8879, 8=8879, 9=8841, 10=8841, 11=8861, 12=8876, 13=8836}
186 --> {1=8939, 2=8939, 3=8945, 4=8946, 5=8946, 6=8946, 7=8951, 8=8939, 9=8946, 10=8951, 11=8945, 12=8939, 13=8939}
188 --> {1=8992, 2=8992, 3=8992, 4=8992, 5=8992, 6=8992, 7=8992, 8=8992, 9=8992, 10=8992, 11=8992, 12=8992, 13=8992}
189 --> {1=9000, 2=9000, 3=9000, 4=9007, 5=9021, 6=9017, 7=8997, 8=9018, 9=9007, 10=9007, 11=9000, 12=9000, 13=8994}
190 --> {1=9025, 2=9025, 3=9025, 4=9025, 5=9025, 6=9025, 7=9025, 8=9025, 9=9025, 10=9025, 11=9025, 12=9025, 13=9025}
194 --> {1=9170, 2=9173, 3=9173, 4=9149, 5=9184, 6=9184, 7=9148, 8=9161, 9=9149, 10=9149, 11=9173, 12=9184, 13=9173}
197 --> {1=9289, 2=9289, 3=9271, 4=9276, 5=9276, 6=9276, 7=9277, 8=9277, 9=9297, 10=9297, 11=9299, 12=9289, 13=9280}
198 --> {1=9319, 2=9319, 3=9317, 4=9314, 5=9314, 6=9314, 7=9341, 8=9344, 9=9309, 10=9309, 11=9317, 12=9319, 13=9316}
199 --> {1=9364, 2=9364, 3=9364, 4=9354, 5=9354, 6=9354, 7=9355, 8=9351, 9=9355, 10=9355, 11=9364, 12=9364, 13=9364}
200 --> {1=9366, 2=9366, 3=9392, 4=9379, 5=9379, 6=9379, 7=9380, 8=9380, 9=9383, 10=9383, 11=9377, 12=9371, 13=9366}
201 --> {1=9401, 2=9401, 3=9416, 4=9404, 5=9416, 6=9417, 7=9403, 8=9415, 9=9404, 10=9404, 11=9400, 12=9401, 13=9401}
202 --> {1=9435, 2=9433, 3=9424, 4=9432, 5=9432, 6=9432, 7=9427, 8=9427, 9=9462, 10=9462, 11=9424, 12=9433, 13=9433}
203 --> {1=9478, 2=9478, 3=9480, 4=9483, 5=9483, 6=9470, 7=9475, 8=9468, 9=9489, 10=9489, 11=9480, 12=9487, 13=9477}
204 --> {1=9513, 2=9513, 3=9513, 4=9507, 5=9513, 6=9520, 7=9507, 8=9517, 9=9507, 10=9507, 11=9510, 12=9513, 13=9513}
205 --> {1=9525, 2=9525, 3=9544, 4=9554, 5=9554, 6=9554, 7=9546, 8=9539, 9=9528, 10=9528, 11=9536, 12=9525, 13=9544}
206 --> {1=9566, 2=9566, 3=9569, 4=9581, 5=9581, 6=9581, 7=9578, 8=9583, 9=9578, 10=9578, 11=9568, 12=9575, 13=9569}
207 --> {1=9597, 2=9597, 3=9600, 4=9635, 5=9635, 6=9594, 7=9623, 8=9634, 9=9623, 10=9623, 11=9600, 12=9597, 13=9618}
208 --> {1=9645, 2=9645, 3=9645, 4=9641, 5=9641, 6=9641, 7=9647, 8=9657, 9=9648, 10=9648, 11=9645, 12=9661, 13=9664}
209 --> {1=9668, 2=9668, 3=9668, 4=9670, 5=9670, 6=9667, 7=9668, 8=9668, 9=9667, 10=9668, 11=9668, 12=9668, 13=9668}
